lp	Plon	DlugoscLuszczyn	ZawartoscTluszczu	SumaGlukozynolanow
1	23,5	58,28	38,30	13,7
2	19,3	64,24	38,50	10,8
3	15,7	69,28	37,80	16,6
4	21,5	61,00	38,80	12,2
5	27,29	61,12	44,3	12,5
6	24,66	71,00	45,4	9,2
7	33,1	58,2	47,1	5,6
8	33,6	65,1	46,6	5,5
9	38,8	57,6	45,6	6,1
10	32,3	50,4	43,4	6,0
11	47,49	86,3	44,0	6,4
12	38,24	70,2	44,5	10,0
13	27,08	65,2	44,3	11,2
14	42,50	74,2	44,5	13,1
15	30,00	63,8	45,3	8,2
16	26,25	60,6	46,1	8,5
17	19,6	48,80	36,20	14,6
18	14,6	53,08	35,50	13,3
19	14,4	50,60	34,60	14,4
20	20	65,52	35,80	9,0
21	23,62	62,14	44,2	13,7
22	28,53	52,72	45	12,8
23	37,8	60,2	46,2	5,6
24	30,0	58,3	46,6	6,0
25	35,4	67,2	44,6	6,8
26	31,5	59,8	44,0	6,5
27	54,39	87,4	43,8	11,4
28	51,74	60,8	44,0	10,7
29	37,50	70,0	45,5	7,8
30	42,50	61,4	44,6	10,0
