rok	pozywka	genotyp	kalusy	zielone	albinosy
r2017	TM	DC	16	9	2
r2017	TM	AC	20	7	2
r2017	TM	HN	0	0	0
r2017	TM	CL	0	0	0
r2017	CD	DC	14	1	3
r2017	CD	AC	12	5	0
r2017	CD	HN	0	0	0
r2017	CD	CL	1	0	0
r2017	C2	DC	22	4	8
r2017	C2	AC	15	4	2
r2017	C2	HN	2	0	0
r2017	C2	CL	2	1	0
r2017	24D	DC	15	2	2
r2017	24D	AC	11	4	1
r2017	24D	HN	1	0	0
r2017	24D	CL	1	0	0
r2017	TMCD	DC	33	2	9
r2017	TMCD	AC	29	7	8
r2017	TMCD	HN	1	1	0
r2017	TMCD	CL	0	0	0
r2017	TMC2	DC	13	2	2
r2017	TMC2	AC	12	1	3
r2017	TMC2	HN	1	0	0
r2017	TMC2	CL	2	2	0
r2017	TM24D	DC	30	1	9
r2017	TM24D	AC	2	2	0
r2017	TM24D	HN	1	0	1
r2017	TM24D	CL	0	0	0
r2017	CD24D	DC	28	5	4
r2017	CD24D	AC	30	21	2
r2017	CD24D	HN	6	2	1
r2017	CD24D	CL	2	1	0
r2017	CDC2	DC	54	8	18
r2017	CDC2	AC	13	7	3
r2017	CDC2	HN	5	0	2
r2017	CDC2	CL	7	0	3
r2017	C224D	DC	12	1	3
r2017	C224D	AC	15	11	2
r2017	C224D	HN	5	0	2
r2017	C224D	CL	1	0	0
r2018	TM	DC	26	6	3
r2018	TM	AC	21	8	3
r2018	TM	HN	1	0	0
r2018	TM	CL	0	0	0
r2018	CD	DC	21	4	2
r2018	CD	AC	15	6	1
r2018	CD	HN	0	0	0
r2018	CD	CL	0	0	0
r2018	C2	DC	26	7	8
r2018	C2	AC	18	6	1
r2018	C2	HN	2	1	0
r2018	C2	CL	1	0	1
r2018	24D	DC	13	3	4
r2018	24D	AC	12	3	2
r2018	24D	HN	0	0	0
r2018	24D	CL	0	0	0
r2018	TMCD	DC	28	4	7
r2018	TMCD	AC	22	6	7
r2018	TMCD	HN	4	1	0
r2018	TMCD	CL	0	0	0
r2018	TMC2	DC	18	4	4
r2018	TMC2	AC	14	4	1
r2018	TMC2	HN	5	1	0
r2018	TMC2	CL	4	2	1
r2018	TM24D	DC	11	2	6
r2018	TM24D	AC	8	3	0
r2018	TM24D	HN	2	0	0
r2018	TM24D	CL	0	0	0
r2018	CD24D	DC	36	8	6
r2018	CD24D	AC	25	15	1
r2018	CD24D	HN	9	5	1
r2018	CD24D	CL	7	2	0
r2018	CDC2	DC	31	7	10
r2018	CDC2	AC	25	9	3
r2018	CDC2	HN	6	1	2
r2018	CDC2	CL	3	0	1
r2018	C224D	DC	8	2	2
r2018	C224D	AC	12	7	1
r2018	C224D	HN	5	0	0
r2018	C224D	CL	0	0	0
